식품명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),,,,,,,,,,,,,,,,,,,,,,,
허브차_오렌지 보스 핫(HOT) (L),100ml,0,,0,,,,0,,,,,,7,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_유러피안 후르츠,100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_카모마일 아이스(ICED) (L),100ml,2,,0.21,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_카모마일 핫(HOT) (L),100ml,0,,0,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일 블렌드티 아이스(ICED) (Tall),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
탄산음료_패션 탱고티 레모네이드 피지오 (Tall),100ml,18,,0,,,,4.79,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
탄산음료_슬림 깔라만시 탄산수,100ml,5,,0.05,,,,1.09,,,,,,8,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
탄산음료_슬림 청포도 탄산수,100ml,12,,0.03,,,,2.07,,,,,,7,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
탄산음료_체리팡팡 아이스(ICED) (L),100ml,53,,0,,,12.79,11.73,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
탄산음료_파인소다 아이스(ICED) (L),100ml,31,,0,,,,7.61,,,,,,12,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_감잎차 아이스(ICED) (L),100ml,0,,0.04,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_감잎차 핫(HOT) (L),100ml,0,,0.04,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_국화차 아이스(ICED) (L),100ml,1,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_국화차 핫(HOT) (L),100ml,1,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_그린루이보스 아이스(ICED),100ml,2,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_그린루이보스 핫(HOT),100ml,2,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_레몬 사과 블렌드티 아이스(ICED) (L),100ml,1,,0.07,,,,0,,,,,,2,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
허브차_레몬 사과 블렌드티 핫(HOT) (L),100ml,1,,0.07,,,,0,,,,,,2,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
허브차_로얄 캐모마일 아이스(ICED),100ml,2,,0,,,0.47,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_로얄 캐모마일 핫(HOT),100ml,3,,0,,,0.5,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_루이보스 레몬,100ml,1,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_루이보스 슈가플럼,100ml,2,,0,,,,0.36,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_루이보스오렌지 아이스(ICED),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_루이보스오렌지 핫(HOT),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
코코아_핫 초콜릿 (L),100ml,126,,3.08,,,,12.62,,,,,,40,,,,,,,,,,4.31,,,,,,,,,,,,,,,,,,,,,,,,
코코아_핫 초콜릿 (R),100ml,122,,3.33,,,,13.33,,,,,,43,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,
코코아_핫초코 아이스(ICED),100ml,71,,1.69,,,,9.6,,,,,,36,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,
